기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
1,LUPPITER,민간(EPC),테스트,미사용,목동,DX-M1,-,-,-,AP,　,bastion,Stop,172.25.0.98,-,-,-,centos-7.9-64bit,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
2,LUPPITER(ZABBIX),민간(EPC),개발(DEV),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-dev-d1zab-p01,Running,172.25.2.20,10.221.45.68,m1-jpt-dev-d1zab-p01,m1-jpt-dev-d1zab-p01,centos-7.9-64bit,4,4,-,-,zabbix_proxy 5.0.25,-,-,-,HDD,53.7 GB,HDD,53.7 GB,-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
3,LUPPITER(ZABBIX),민간(EPC),개발(DEV),사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-dev-d1zab-pd01,Running,172.25.2.21,10.221.45.69,m1-jpt-dev-d1zab-pd01,m1-jpt-dev-d1zab-pd01,centos-7.9-64bit,4,8,PostgreSQL 13.5,-,-,-,-,-,HDD,53.7 GB,HDD,"21.5 GB
161.1 GB",-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
4,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-a01-cent,Stop,172.25.1.34,10.230.9.59,m1-jpt-prd-d1zab-a01,m1-jpt-prd-d1zab-a01,centos-7.9-64bit,8,16,-,-,zabbix_server 5.0.25,-,-,172.25.1.63,HDD,53.7 GB,-,-,-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
5,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-a01-rocky,Stop,172.25.1.53,10.230.7.83,m1-jpt-prd-d1zab-a01-rocky,m1-jpt-prd-d1zab-a01,rocky-8.10-64bit,8,16,-,-,zabbix_server 7.0.18,-,-,172.25.1.63,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.22.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
6,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-a02-cent,Stop,172.25.1.35,10.230.9.60,m1-jpt-prd-d1zab-a02,m1-jpt-prd-d1zab-a02,centos-7.9-64bit,8,16,-,-,zabbix_proxy 5.0.25,-,-,172.25.1.64,HDD,53.7 GB,-,-,-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
7,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-a02-rocky,Stop,172.25.1.54,10.230.7.84,m1-jpt-prd-d1zab-a02-rocky,m1-jpt-prd-d1zab-a02,rocky-8.10-64bit,8,16,-,-,-,-,-,-,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.22.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
8,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-d01-cent,Stop,172.25.1.37,10.230.9.61,m1-jpt-prd-d1zab-d01,m1-jpt-prd-d1zab-d01,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,172.25.44.37,-,-,HDD,53.7 GB,HDD,"21.5 GB
322.1 GB",-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
9,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-d01-rocky,Stop,172.25.1.55,10.230.7.85,m1-jpt-prd-d1zab-d01-rocky,m1-jpt-prd-d1zab-d01,rocky-8.10-64bit,16,32,PostgreSQL 16.9,-,-,172.25.44.55,-,172.25.1.40,HDD,50 GB,HDD,20 GB,ISCSI,1.1 TB,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
10,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-d02-cent,Stop,172.25.1.38,10.230.9.62,m1-jpt-prd-d1zab-d02,m1-jpt-prd-d1zab-d02,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,172.25.44.38,-,-,HDD,53.7 GB,HDD,"21.5 GB
161.1 GB",-,-,-,-,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
11,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-d02-rocky,Stop,172.25.1.56,10.230.7.86,m1-jpt-prd-d1zab-d02-rocky,m1-jpt-prd-d1zab-d02,rocky-8.10-64bit,16,32,PostgreSQL 16.9,-,-,172.25.44.56,-,-,HDD,50 GB,HDD,20 GB,ISCSI,1.1 TB,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
12,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-p01,Running,172.25.1.23,10.221.45.116,m1-jpt-prd-d1zab-p01,m1-jpt-prd-d1zab-p01,centos-7.9-64bit,8,8,-,-,-,-,-,-,HDD,53.7 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.71.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
13,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-p01-rocky,Stop,172.25.1.57,10.230.7.87,m1-jpt-prd-d1zab-p01-rocky,m1-jpt-prd-d1zab-p01,rocky-8.10-64bit,8,8,-,-,-,-,-,-,HDD,50 GB,-,-,ISCSI,50 GB,-,-,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
14,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-p02,Running,172.25.1.89,10.221.45.117,m1-jpt-prd-d1zab-p02,m1-jpt-prd-d1zab-p02,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,-,172.25.1.71,HDD,53.7 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.71.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
15,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-d1zab-p02-rocky,Stop,172.25.1.58,10.230.7.88,m1-jpt-prd-d1zab-p02-rocky,m1-jpt-prd-d1zab-p02,rocky-8.10-64bit,8,8,-,-,-,-,-,-,HDD,50 GB,-,-,ISCSI,50 GB,-,-,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
16,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-pd01,Running,172.25.1.166,10.221.45.122,m1-jpt-prd-d1zab-pd01,m1-jpt-prd-d1zab-pd01,centos-7.9-64bit,8,16,POstgreSQL 13.5,-,-,-,-,172.25.1.161,HDD,53.7 GB,HDD,21.5 GB,ISCSI,161.1 GB,HA,A-S,3.10.0-1160.71.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
17,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-pd01-rocky,Stop,172.25.1.59,10.230.7.89,m1-jpt-prd-d1zab-pd01-rocky,m1-jpt-prd-d1zab-pd01,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,-,-,-,HDD,50 GB,HDD,20 GB,ISCSI,150 GB,HA,A-S,4.18.0-553.22.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
18,LUPPITER(ZABBIX),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-pd02,Running,172.25.1.24,10.221.45.123,m1-jpt-prd-d1zab-pd02,m1-jpt-prd-d1zab-pd02,centos-7.9-64bit,8,16,POstgreSQL 13.5,-,-,-,-,-,HDD,53.7 GB,HDD,21.5 GB,ISCSI,161.1 GB,HA,A-S,3.10.0-1160.71.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
19,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,DB,　,m1-jpt-prd-d1zab-pd02-rocky,Stop,172.25.1.60,10.230.7.90,m1-jpt-prd-d1zab-pd02-rocky,m1-jpt-prd-d1zab-pd02,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,-,-,-,HDD,50 GB,HDD,20 GB,ISCSI,150 GB,HA,A-S,4.18.0-553.22.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
20,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-d1zab-w01-cent,Stop,172.25.1.31,10.230.9.57,m1-jpt-prd-d1zab-w01,m1-jpt-prd-d1zab-w01,centos-7.9-64bit,4,8,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,HDD,75.2 GB,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
21,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-d1zab-w01-rocky,Stop,172.25.1.51,10.230.7.81,m1-jpt-prd-d1zab-w01-rocky,m1-jpt-prd-d1zab-w01,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
22,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-d1zab-w02-cent,Stop,172.25.1.32,10.230.9.58,m1-jpt-prd-d1zab-w02,m1-jpt-prd-d1zab-w02,centos-7.9-64bit,4,8,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,HDD,75.2 GB,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
23,LUPPITER(ZABBIX),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-d1zab-w02-rocky,Stop,172.25.1.52,10.230.7.82,m1-jpt-prd-d1zab-w02-rocky,m1-jpt-prd-d1zab-w02,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
24,LUPPITER(M-Kate),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-kmon-a01,Stop,172.25.1.130,10.221.45.114,m1-jpt-prd-kmon-a01,m1-jpt-prd-kmon-a01,centos-7.9-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,53.7 GB,-,-,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Disabled,사용안함,O,X,X,X
25,LUPPITER(M-Kate),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-kmon-a01-rocky,Running,172.25.1.13,10.230.7.115,m1-jpt-prd-kmon-a01-rocky,m1-jpt-prd-kmon-a01,rocky-8.10-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,50 GB,HDD,70 GB,-,-,HA,A-A,4.18.0-553.22.1.el8_10.x86_64,-,"openjdk version ""17.0.11""",-,Disabled,사용안함,O,O,O,X
26,LUPPITER(M-Kate),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-kmon-a02,Stop,172.25.1.174,10.221.45.115,m1-jpt-prd-kmon-a02,m1-jpt-prd-kmon-a02,centos-7.9-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,53.7 GB,-,-,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Disabled,사용안함,O,X,X,X
27,LUPPITER(M-Kate),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-prd-kmon-a02-rcoky,Running,172.25.1.14,10.230.7.116,m1-jpt-prd-kmon-a02-rcoky,m1-jpt-prd-kmon-a02,rocky-8.10-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,50 GB,HDD,70 GB,-,-,HA,A-A,4.18.0-553.22.1.el8_10.x86_64,-,"openjdk version ""17.0.11""",-,Disabled,사용안함,O,O,O,X
28,LUPPITER(M-Kate),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-kmon-w01,Stop,172.25.0.103,10.221.45.118,m1-jpt-prd-kmon-w01,m1-jpt-prd-kmon-w01,centos-7.9-64bit,4,4,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,HDD,75.2 GB,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
29,LUPPITER(M-Kate),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-kmon-w01-rocky,Running,172.25.0.11,10.230.7.113,m1-jpt-prd-kmon-w01-rocky,m1-jpt-prd-kmon-w01,rocky-8.10-64bit,4,4,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,HA,A-A,4.18.0-553.22.1.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
30,LUPPITER(M-Kate),민간(EPC),운영(PRD),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-kmon-w02,Stop,172.25.0.59,10.221.45.119,m1-jpt-prd-kmon-w02,m1-jpt-prd-kmon-w02,centos-7.9-64bit,4,4,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,HDD,75.2 GB,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,firewalld,O,X,X,X
31,LUPPITER(M-Kate),민간(EPC),운영(PRD),사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-prd-kmon-w02-rocky,Running,172.25.0.12,10.230.7.114,m1-jpt-prd-kmon-w02-rocky,m1-jpt-prd-kmon-w02,rocky-8.10-64bit,4,4,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,HA,A-A,4.18.0-553.22.1.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
32,LUPPITER(ZABBIX),민간(EPC),테스트,미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-stg-d1zab-test,Stop,172.25.2.14,10.230.9.44,-,-,ubuntu-24.04-64bit,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
